Done!
Net 0, gnd 
Net 1, fine_boost 
Net 2, fine 
Net 3, vdd 
Net 4, xi3/net8 
Net 5, xi3/net5 
Net 6, xi3/net6 
Net 7, xi3/net013 
Net 8, xi3/xi1/net17 
Net 9, xi3/xi1/net25 
Net 10, net073 
Net 11, clk 
Net 12, clkb 
Net 13, net066 
Net 14, net065 
Net 15, vxn 
Net 16, vxp 
Net 17, flipb 
Net 18, flip 
Net 19, outm 
Net 20, intern 
Net 21, net05 
Net 22, clkn 
Net 23, _net0 
Net 24, vxn2 
Net 25, _net1 
Net 26, vmidb 
Net 27, interp 
Net 28, vxp2 
Net 29, vmid 
Net 30, outp 
Net 31, net04 
Net 32, net027 
Instance 0, xi3/xm5 
Pin 0, from  Instance xi3/xm5 to net 4:xi3/net8 
Pin 1, from  Instance xi3/xm5 to net 5:xi3/net5 
Pin 2, from  Instance xi3/xm5 to net 3:vdd 
Pin 3, from  Instance xi3/xm5 to net 3:vdd 
Instance 1, xi3/xm4 
Pin 4, from  Instance xi3/xm4 to net 1:fine_boost 
Pin 5, from  Instance xi3/xm4 to net 6:xi3/net6 
Pin 6, from  Instance xi3/xm4 to net 4:xi3/net8 
Pin 7, from  Instance xi3/xm4 to net 3:vdd 
Instance 2, xi3/xm1 
Pin 8, from  Instance xi3/xm1 to net 5:xi3/net5 
Pin 9, from  Instance xi3/xm1 to net 6:xi3/net6 
Pin 10, from  Instance xi3/xm1 to net 4:xi3/net8 
Pin 11, from  Instance xi3/xm1 to net 3:vdd 
Instance 3, xi3/xm6 
Pin 12, from  Instance xi3/xm6 to net 1:fine_boost 
Pin 13, from  Instance xi3/xm6 to net 6:xi3/net6 
Pin 14, from  Instance xi3/xm6 to net 2:fine 
Pin 15, from  Instance xi3/xm6 to net 0:gnd 
Instance 4, xi3/xm2 
Pin 16, from  Instance xi3/xm2 to net 5:xi3/net5 
Pin 17, from  Instance xi3/xm2 to net 6:xi3/net6 
Pin 18, from  Instance xi3/xm2 to net 7:xi3/net013 
Pin 19, from  Instance xi3/xm2 to net 0:gnd 
Instance 5, xi3/xi1/m0 
Pin 20, from  Instance xi3/xi1/m0 to net 7:xi3/net013 
Pin 21, from  Instance xi3/xi1/m0 to net 0:gnd 
Pin 22, from  Instance xi3/xi1/m0 to net 0:gnd 
Pin 23, from  Instance xi3/xi1/m0 to net 0:gnd 
Instance 6, xi3/xi1/m1 
Pin 24, from  Instance xi3/xi1/m1 to net 7:xi3/net013 
Pin 25, from  Instance xi3/xi1/m1 to net 6:xi3/net6 
Pin 26, from  Instance xi3/xi1/m1 to net 0:gnd 
Pin 27, from  Instance xi3/xi1/m1 to net 0:gnd 
Instance 7, xi3/xi1/m2 
Pin 28, from  Instance xi3/xi1/m2 to net 7:xi3/net013 
Pin 29, from  Instance xi3/xi1/m2 to net 6:xi3/net6 
Pin 30, from  Instance xi3/xi1/m2 to net 0:gnd 
Pin 31, from  Instance xi3/xi1/m2 to net 0:gnd 
Instance 8, xi3/xi1/m3 
Pin 32, from  Instance xi3/xi1/m3 to net 7:xi3/net013 
Pin 33, from  Instance xi3/xi1/m3 to net 0:gnd 
Pin 34, from  Instance xi3/xi1/m3 to net 0:gnd 
Pin 35, from  Instance xi3/xi1/m3 to net 0:gnd 
Instance 9, xi3/xi1/m4 
Pin 36, from  Instance xi3/xi1/m4 to net 7:xi3/net013 
Pin 37, from  Instance xi3/xi1/m4 to net 6:xi3/net6 
Pin 38, from  Instance xi3/xi1/m4 to net 8:xi3/xi1/net17 
Pin 39, from  Instance xi3/xi1/m4 to net 3:vdd 
Instance 10, xi3/xi1/m5 
Pin 40, from  Instance xi3/xi1/m5 to net 9:xi3/xi1/net25 
Pin 41, from  Instance xi3/xi1/m5 to net 0:gnd 
Pin 42, from  Instance xi3/xi1/m5 to net 3:vdd 
Pin 43, from  Instance xi3/xi1/m5 to net 3:vdd 
Instance 11, xi3/xi1/m6 
Pin 44, from  Instance xi3/xi1/m6 to net 7:xi3/net013 
Pin 45, from  Instance xi3/xi1/m6 to net 6:xi3/net6 
Pin 46, from  Instance xi3/xi1/m6 to net 9:xi3/xi1/net25 
Pin 47, from  Instance xi3/xi1/m6 to net 3:vdd 
Instance 12, xi3/xi1/m7 
Pin 48, from  Instance xi3/xi1/m7 to net 8:xi3/xi1/net17 
Pin 49, from  Instance xi3/xi1/m7 to net 0:gnd 
Pin 50, from  Instance xi3/xi1/m7 to net 3:vdd 
Pin 51, from  Instance xi3/xi1/m7 to net 3:vdd 
Instance 13, xi3/xi2/m0 
Pin 52, from  Instance xi3/xi2/m0 to net 6:xi3/net6 
Pin 53, from  Instance xi3/xi2/m0 to net 2:fine 
Pin 54, from  Instance xi3/xi2/m0 to net 0:gnd 
Pin 55, from  Instance xi3/xi2/m0 to net 0:gnd 
Instance 14, xi3/xi2/m1 
Pin 56, from  Instance xi3/xi2/m1 to net 6:xi3/net6 
Pin 57, from  Instance xi3/xi2/m1 to net 2:fine 
Pin 58, from  Instance xi3/xi2/m1 to net 3:vdd 
Pin 59, from  Instance xi3/xi2/m1 to net 3:vdd 
Instance 15, xi3/xc2 
Pin 60, from  Instance xi3/xc2 to net 7:xi3/net013 
Pin 61, from  Instance xi3/xc2 to net 4:xi3/net8 
Pin 62, from  Instance xi3/xc2 to net 3:vdd 
Instance 16, xi3/xc3 
Pin 63, from  Instance xi3/xc3 to net 7:xi3/net013 
Pin 64, from  Instance xi3/xc3 to net 4:xi3/net8 
Pin 65, from  Instance xi3/xc3 to net 3:vdd 
Instance 17, xi4/m0 
Pin 66, from  Instance xi4/m0 to net 10:net073 
Pin 67, from  Instance xi4/m0 to net 0:gnd 
Pin 68, from  Instance xi4/m0 to net 0:gnd 
Pin 69, from  Instance xi4/m0 to net 0:gnd 
Instance 18, xi4/m1 
Pin 70, from  Instance xi4/m1 to net 10:net073 
Pin 71, from  Instance xi4/m1 to net 0:gnd 
Pin 72, from  Instance xi4/m1 to net 3:vdd 
Pin 73, from  Instance xi4/m1 to net 3:vdd 
Instance 19, xi0/m0 
Pin 74, from  Instance xi0/m0 to net 12:clkb 
Pin 75, from  Instance xi0/m0 to net 11:clk 
Pin 76, from  Instance xi0/m0 to net 0:gnd 
Pin 77, from  Instance xi0/m0 to net 0:gnd 
Instance 20, xi0/m1 
Pin 78, from  Instance xi0/m1 to net 12:clkb 
Pin 79, from  Instance xi0/m1 to net 11:clk 
Pin 80, from  Instance xi0/m1 to net 3:vdd 
Pin 81, from  Instance xi0/m1 to net 3:vdd 
Instance 21, xm0 
Pin 82, from  Instance xm0 to net 0:gnd 
Pin 83, from  Instance xm0 to net 13:net066 
